data
43,8306
69,2781
88,5093
192,3965
181,2174
156,2113
48,7332
124,1502
84,5421
113,0118
-9,0572
115,4575
126,4155
131,9393
114,6773
75,5278
98,4462
81,6625
75,0252
74,6434
84,9294
102,0827
128,6591
65,7037
104,0685
101,8126
148,5904
144,0445
137,5858
124,7092
111,5737
114,1213
124,9540
78,9457
117,4184
232,0116
102,8351
121,4691
114,2081
102,5267
33,5742
89,4571
81,8669
93,1766
100,5612
42,7775
76,0058
45,0726
148,7883
108,0884
151,9806
79,6552
95,4083
97,9916
78,4810
57,3067
76,4827
96,1997
108,6818
158,2853
113,0744
94,6100
128,2543
106,0488
74,5793
33,3615
111,5372
92,2391
116,6346
90,3779
131,0154
47,4934
65,6825
87,7809
68,9448
140,7333
114,9929
170,8614
52,3734
42,2874
117,1274
134,8929
138,2504
125,5646
29,5735
8,6088
178,8213
61,2890
111,9250
81,0162
84,4050
167,4602
137,1285
73,3799
95,3265
128,1212
90,5814
158,6303
43,6914
94,9695
139,0884
153,7503
157,8935
83,9756
141,1499
70,8562
53,1733
50,4873
134,8501
92,1052
109,1928
69,2800
36,9759
63,3054
146,3379
155,9565
116,2030
53,2595
76,1974
108,9712
147,4554
189,8854
81,4359
128,2413
28,1729
113,4358
113,6364
96,1684
82,4122
76,2639
86,2535
141,1738
91,5908
133,3946
124,1749
107,1532
164,3580
119,7310
96,5254
63,0774
13,7534
56,9597
173,8899
79,7827
86,3480
83,1026
96,0557
112,5732
151,4693
67,1667
110,1701
71,6330
156,1549
121,0958
119,8650
82,9697
46,1483
71,3008
73,3909
103,1770
68,0889
132,0770
91,8071
53,3364
100,1406
174,2251
66,9286
95,6783
136,6703
148,0081
124,9089
79,3698
102,9515
128,2384
67,2139
159,2483
63,8184
136,0641
92,2636
77,4346
67,6621
62,9708
148,4462
173,0505
74,4004
137,6286
129,6882
102,5831
81,1175
85,0473
123,1372
132,4817
87,5217
79,1491
113,3254
28,4138
77,1224
125,1874
92,5017
139,6139
109,4145
32,6463
97,8117
123,7238
67,8880
59,0773
144,0527
115,1551
57,1406
160,8546
70,6730
127,7056
120,1487
86,3304
76,4823
78,8299
147,2629
162,8394
129,0420
100,4438
93,1278
93,8119
106,0046
154,4267
84,9653
150,4799
-28,0964
69,3568
114,3177
188,5492
161,9890
56,9202
153,7245
97,7897
54,3501
149,4370
53,7814
120,7949
111,5355
119,0418
36,5251
105,0905
124,5143
127,1713
121,8221
107,0440
170,1119
125,0200
125,1409
131,6444
